rally_no,player,skill,detail,point_to
1,No.2,serve,left,opponent
2,No.4,receive,ok,in-play
3,No.2,free,set,in-play
4,No.7,serve,float,us
5,No.4,receive,cross,in-play
6,No.1,free,set,in-play
7,No.9,block,double,opponent
8,No.10,spike,line,us
9,No.7,spike,tip,us
10,No.4,spike,line,us
11,No.7,serve,short,opponent
12,No.10,spike,line,in-play
13,No.8,free,set,opponent
14,No.2,free,dig,in-play
15,No.10,spike,pipe,us
16,No.2,serve,left,us
17,No.5,serve,jump,us
18,No.7,spike,block-out,in-play
19,No.6,receive,poor,opponent
20,No.4,spike,line,in-play
21,No.3,free,free-ball,us
22,No.3,block,touch,opponent
23,No.9,receive,poor,us
24,No.4,serve,short,opponent
25,No.5,serve,jump,in-play
26,No.6,receive,line,opponent
27,No.8,receive,poor,us
28,No.4,free,free-ball,opponent
29,No.10,block,touch,opponent
30,No.4,receive,cross,opponent
31,No.2,serve,float,us
32,No.3,block,single,opponent
33,No.7,free,dig,in-play
34,No.5,free,set,in-play
35,No.2,free,dig,in-play
36,No.6,serve,short,opponent
37,No.3,block,single,in-play
38,No.5,free,set,in-play
39,No.2,spike,pipe,in-play
40,No.4,receive,poor,us
41,No.9,free,set,in-play
42,No.6,block,single,us
43,No.6,spike,cross,us
44,No.4,free,set,us
45,No.8,serve,right,us
46,No.3,block,double,opponent
47,No.9,free,dig,us
48,No.9,receive,poor,opponent
49,No.6,block,touch,us
50,No.4,receive,perfect,opponent
